task,scope,model,baseline_model,candidate_rmse,baseline_rmse,train_records,test_records,validation,selected_status,reason,physical_rule_checks
REFERENCE_PERFORMANCE,E101AB,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,5.505181007334523,14.693958207353736,1451,363,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E101CD,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,20.14514760756949,38.88948078530745,1423,356,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E101EF,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,2.9388406687033526,9.139969526043656,1287,322,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E102,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,39.31661579170566,17.895640759340846,1360,340,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E103AB,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,16.860680932011675,28.125454230841555,843,211,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E104,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,7.419789239032132,11.091017380809124,1388,348,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E105AB,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,10.6039516316942,11.890803305456723,1231,308,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E106AB,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,41.53468429847833,25.79520609397559,801,201,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E107AB,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,25.780965896349983,7.513609760809563,1085,272,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E108AB,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,23.52144778959642,28.38752107438207,941,236,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
REFERENCE_PERFORMANCE,E109AB,RIDGE_OPERATING_ADJUSTED,BEST_OF_MEDIAN_OR_PERSISTENCE,4.472867611689278,6.316529396904757,1149,288,CHRONOLOGICAL_80_20,BENCHMARK_ONLY,PHYSICAL_OR_SEMANTIC_GATE_NOT_OPEN,VERIFIED_U_BLOCKED;EMPIRICAL_ONLY
